{ 09 41 A0 3B 64 91 2C 00 00 }, Delta:147778,898ms, Position:[25659,11409], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 57 64 91 2C 00 00 }, Delta:13,102ms, Position:[25687,11409], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 7F 64 91 2C 00 00 }, Delta:0,653ms, Position:[25727,11409], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B1 64 77 2C 00 00 }, Delta:0,524ms, Position:[25777,11383], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 F0 64 5D 2C 00 00 }, Delta:0,590ms, Position:[25840,11357], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 39 65 40 2C 00 00 }, Delta:0,499ms, Position:[25913,11328], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 8B 65 21 2C 00 00 }, Delta:0,508ms, Position:[25995,11297], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 E3 65 00 2C 00 00 }, Delta:3,064ms, Position:[26083,11264], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 34 66 E0 2B 00 00 }, Delta:7,557ms, Position:[26164,11232], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 7D 66 C4 2B 00 00 }, Delta:15,737ms, Position:[26237,11204], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B8 66 AE 2B 00 00 }, Delta:0,554ms, Position:[26296,11182], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 E8 66 99 2B 00 00 }, Delta:0,580ms, Position:[26344,11161], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 0A 67 8A 2B 00 00 }, Delta:0,500ms, Position:[26378,11146], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 21 67 7E 2B 00 00 }, Delta:5,684ms, Position:[26401,11134], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 7E 2B 00 00 }, Delta:12,168ms, Position:[26414,11134], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 72 2B 00 00 }, Delta:0,574ms, Position:[26414,11122], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 72 2B 00 00 }, Delta:5,471ms, Position:[26414,11122], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 64 2B 00 00 }, Delta:10,024ms, Position:[26414,11108], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 58 2B 00 00 }, Delta:0,575ms, Position:[26414,11096], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 4C 2B 00 00 }, Delta:8,303ms, Position:[26414,11084], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 40 2B 00 00 }, Delta:4,222ms, Position:[26414,11072], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 35 2B 00 00 }, Delta:5,508ms, Position:[26414,11061], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 29 2B 00 00 }, Delta:16,434ms, Position:[26414,11049], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2E 67 1D 2B 00 00 }, Delta:0,568ms, Position:[26414,11037], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3B 67 11 2B 00 00 }, Delta:2,488ms, Position:[26427,11025], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3B 67 05 2B 00 00 }, Delta:5,519ms, Position:[26427,11013], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 4C 67 F9 2A 00 00 }, Delta:6,829ms, Position:[26444,11001], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 59 67 ED 2A 00 00 }, Delta:8,907ms, Position:[26457,10989], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 65 67 E1 2A 00 00 }, Delta:2,406ms, Position:[26469,10977], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 70 67 D5 2A 00 00 }, Delta:4,749ms, Position:[26480,10965], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 78 67 C9 2A 00 00 }, Delta:9,069ms, Position:[26488,10953], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 78 67 BD 2A 00 00 }, Delta:4,921ms, Position:[26488,10941], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 78 67 B3 2A 00 00 }, Delta:3,561ms, Position:[26488,10931], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 67 A9 2A 00 00 }, Delta:7,195ms, Position:[26497,10921], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 67 A2 2A 00 00 }, Delta:9,880ms, Position:[26497,10914], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 67 9D 2A 00 00 }, Delta:4,805ms, Position:[26497,10909], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 67 97 2A 00 00 }, Delta:4,950ms, Position:[26497,10903], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 67 94 2A 00 00 }, Delta:6,986ms, Position:[26497,10900], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 67 91 2A 00 00 }, Delta:2,383ms, Position:[26497,10897], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 72 67 8B 2A 00 00 }, Delta:7,866ms, Position:[26482,10891], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 65 67 86 2A 00 00 }, Delta:3,823ms, Position:[26469,10886], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 57 67 7F 2A 00 00 }, Delta:7,518ms, Position:[26455,10879], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 4A 67 75 2A 00 00 }, Delta:6,057ms, Position:[26442,10869], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3D 67 66 2A 00 00 }, Delta:7,240ms, Position:[26429,10854], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2C 67 54 2A 00 00 }, Delta:9,053ms, Position:[26412,10836], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1C 67 3E 2A 00 00 }, Delta:0,586ms, Position:[26396,10814], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 0B 67 24 2A 00 00 }, Delta:5,799ms, Position:[26379,10788], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 F7 66 05 2A 00 00 }, Delta:7,533ms, Position:[26359,10757], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 E2 66 E1 29 00 00 }, Delta:7,359ms, Position:[26338,10721], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CB 66 BA 29 00 00 }, Delta:11,020ms, Position:[26315,10682], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 AF 66 8F 29 00 00 }, Delta:0,550ms, Position:[26287,10639], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 91 66 5F 29 00 00 }, Delta:3,581ms, Position:[26257,10591], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 6E 66 2D 29 00 00 }, Delta:6,033ms, Position:[26222,10541], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 46 66 F9 28 00 00 }, Delta:10,852ms, Position:[26182,10489], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1A 66 C4 28 00 00 }, Delta:3,821ms, Position:[26138,10436], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 EA 65 8D 28 00 00 }, Delta:4,370ms, Position:[26090,10381], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B5 65 56 28 00 00 }, Delta:4,901ms, Position:[26037,10326], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 7C 65 1D 28 00 00 }, Delta:11,053ms, Position:[25980,10269], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3F 65 E5 27 00 00 }, Delta:11,964ms, Position:[25919,10213], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 FF 64 AE 27 00 00 }, Delta:0,555ms, Position:[25855,10158], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B9 64 78 27 00 00 }, Delta:0,641ms, Position:[25785,10104], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 70 64 45 27 00 00 }, Delta:5,351ms, Position:[25712,10053], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 21 64 13 27 00 00 }, Delta:6,630ms, Position:[25633,10003], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CE 63 E5 26 00 00 }, Delta:5,596ms, Position:[25550,9957], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 78 63 BA 26 00 00 }, Delta:5,897ms, Position:[25464,9914], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1F 63 92 26 00 00 }, Delta:6,219ms, Position:[25375,9874], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 C0 62 6E 26 00 00 }, Delta:6,166ms, Position:[25280,9838], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 60 62 4F 26 00 00 }, Delta:7,362ms, Position:[25184,9807], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 FD 61 35 26 00 00 }, Delta:4,293ms, Position:[25085,9781], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 98 61 1F 26 00 00 }, Delta:6,147ms, Position:[24984,9759], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 33 61 0E 26 00 00 }, Delta:8,717ms, Position:[24883,9742], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CE 60 02 26 00 00 }, Delta:6,079ms, Position:[24782,9730], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 69 60 FB 25 00 00 }, Delta:14,964ms, Position:[24681,9723], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 04 60 FB 25 00 00 }, Delta:0,736ms, Position:[24580,9723], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 A1 5F FB 25 00 00 }, Delta:0,572ms, Position:[24481,9723], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3F 5F 09 26 00 00 }, Delta:9,938ms, Position:[24383,9737], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 DF 5E 1A 26 00 00 }, Delta:2,379ms, Position:[24287,9754], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 81 5E 30 26 00 00 }, Delta:5,336ms, Position:[24193,9776], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 24 5E 4C 26 00 00 }, Delta:5,356ms, Position:[24100,9804], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 C9 5D 6E 26 00 00 }, Delta:6,525ms, Position:[24009,9838], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 72 5D 96 26 00 00 }, Delta:8,301ms, Position:[23922,9878], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1C 5D C2 26 00 00 }, Delta:5,121ms, Position:[23836,9922], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 C9 5C F6 26 00 00 }, Delta:4,381ms, Position:[23753,9974], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 79 5C 30 27 00 00 }, Delta:5,735ms, Position:[23673,10032], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 2F 5C 73 27 00 00 }, Delta:6,980ms, Position:[23599,10099], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 E9 5B BD 27 00 00 }, Delta:6,559ms, Position:[23529,10173], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 A9 5B 0E 28 00 00 }, Delta:4,804ms, Position:[23465,10254], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 6F 5B 64 28 00 00 }, Delta:8,185ms, Position:[23407,10340], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3C 5B C1 28 00 00 }, Delta:4,531ms, Position:[23356,10433], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 0F 5B 23 29 00 00 }, Delta:4,771ms, Position:[23311,10531], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 E9 5A 88 29 00 00 }, Delta:6,207ms, Position:[23273,10632], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 C9 5A F1 29 00 00 }, Delta:5,742ms, Position:[23241,10737], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B2 5A 5D 2A 00 00 }, Delta:6,362ms, Position:[23218,10845], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 A3 5A CB 2A 00 00 }, Delta:5,671ms, Position:[23203,10955], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 A3 5A 3B 2B 00 00 }, Delta:15,136ms, Position:[23203,11067], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 A3 5A AC 2B 00 00 }, Delta:0,685ms, Position:[23203,11180], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 A3 5A 1F 2C 00 00 }, Delta:7,785ms, Position:[23203,11295], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B9 5A 94 2C 00 00 }, Delta:3,182ms, Position:[23225,11412], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 D5 5A 09 2D 00 00 }, Delta:4,322ms, Position:[23253,11529], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 F8 5A 7E 2D 00 00 }, Delta:5,184ms, Position:[23288,11646], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 23 5B F6 2D 00 00 }, Delta:5,960ms, Position:[23331,11766], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 51 5B 72 2E 00 00 }, Delta:5,647ms, Position:[23377,11890], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 86 5B F2 2E 00 00 }, Delta:6,653ms, Position:[23430,12018], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 BE 5B 78 2F 00 00 }, Delta:5,717ms, Position:[23486,12152], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 FA 5B 02 30 00 00 }, Delta:9,152ms, Position:[23546,12290], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 3B 5C 92 30 00 00 }, Delta:3,915ms, Position:[23611,12434], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 80 5C 2B 31 00 00 }, Delta:5,800ms, Position:[23680,12587], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CA 5C CB 31 00 00 }, Delta:5,063ms, Position:[23754,12747], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1A 5D 6E 32 00 00 }, Delta:5,885ms, Position:[23834,12910], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 70 5D 11 33 00 00 }, Delta:5,960ms, Position:[23920,13073], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CD 5D B3 33 00 00 }, Delta:6,065ms, Position:[24013,13235], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 30 5E 4F 34 00 00 }, Delta:5,965ms, Position:[24112,13391], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 9D 5E E3 34 00 00 }, Delta:6,693ms, Position:[24221,13539], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 14 5F 6E 35 00 00 }, Delta:5,923ms, Position:[24340,13678], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 95 5F EC 35 00 00 }, Delta:5,359ms, Position:[24469,13804], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 22 60 5B 36 00 00 }, Delta:5,978ms, Position:[24610,13915], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 B7 60 BD 36 00 00 }, Delta:5,830ms, Position:[24759,14013], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 56 61 10 37 00 00 }, Delta:6,038ms, Position:[24918,14096], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 FD 61 53 37 00 00 }, Delta:5,865ms, Position:[25085,14163], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 AC 62 86 37 00 00 }, Delta:11,285ms, Position:[25260,14214], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 64 63 AC 37 00 00 }, Delta:2,853ms, Position:[25444,14252], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1F 64 BF 37 00 00 }, Delta:5,218ms, Position:[25631,14271], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 DE 64 BF 37 00 00 }, Delta:6,465ms, Position:[25822,14271], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 9A 65 AF 37 00 00 }, Delta:5,981ms, Position:[26010,14255], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 57 66 8F 37 00 00 }, Delta:5,838ms, Position:[26199,14223], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 10 67 5F 37 00 00 }, Delta:4,376ms, Position:[26384,14175], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 C6 67 21 37 00 00 }, Delta:6,674ms, Position:[26566,14113], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 77 68 D3 36 00 00 }, Delta:5,348ms, Position:[26743,14035], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 1E 69 7C 36 00 00 }, Delta:9,846ms, Position:[26910,13948], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 BD 69 1A 36 00 00 }, Delta:2,947ms, Position:[27069,13850], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 52 6A AC 35 00 00 }, Delta:5,391ms, Position:[27218,13740], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 DD 6A 39 35 00 00 }, Delta:5,884ms, Position:[27357,13625], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 5B 6B BF 34 00 00 }, Delta:5,993ms, Position:[27483,13503], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CD 6B 40 34 00 00 }, Delta:6,396ms, Position:[27597,13376], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 31 6C BF 33 00 00 }, Delta:5,843ms, Position:[27697,13247], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 87 6C 3E 33 00 00 }, Delta:6,090ms, Position:[27783,13118], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
{ 09 41 A0 CC 6C BD 32 00 00 }, Delta:6,670ms, Position:[27852,12989], Pressure:0, PenButtons:[False False], ReportType:VeikkA15TabletReport
